KO number	p-value	Label	Tissue sample	KO name	Description
K00003	1.87E-27	C18 ceramide	liver	hom; homoserine dehydrogenase [EC:1.1.1.3]	"Methionine biosynthesis, aspartate => homoserine => methionine"
K00003	1.87E-27	C18 ceramide	liver	hom; homoserine dehydrogenase [EC:1.1.1.3]	"Threonine biosynthesis, aspartate => homoserine => threonine"
K00244	1.92E-190	C24 ceramide	liver	frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	"Citrate cycle (TCA cycle, Krebs cycle)"
K00244	1.92E-190	C24 ceramide	liver	frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
K00244	1.92E-190	C24 ceramide	liver	frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	"Fumarate reductase, prokaryotes"
K00244	1.92E-190	C24 ceramide	liver	frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	Reductive citrate cycle (Arnon-Buchanan cycle)
K00433	9.80E-08	C22 ceramide	brain	cpo; non-heme chloroperoxidase [EC:1.11.1.10]	NA
K00441	1.44E-128	C16 ceramide	liver	frhB; coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]	NA
K00663	6.51E-46	C16 ceramide	liver	aacA; aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82]	NA
K00759	9.63E-227	C24 ceramide	liver	"APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]"	NA
K00805	3.55E-21	C24 ceramide	liver	hepS; heptaprenyl diphosphate synthase component 1 [EC:2.5.1.30]	NA
K00868	1.17E-15	C24 ceramide	brain	"pdxK, pdxY; pyridoxine kinase [EC:2.7.1.35]"	NA
K00945	2.93E-42	C18 ceramide	brain	cmk; CMP/dCMP kinase [EC:2.7.4.25]	NA
K01034	4.21E-24	C24 ceramide	brain	atoD; acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]	NA
K01071	5.99E-35	C16 ceramide	liver	MCH; medium-chain acyl-[acyl-carrier-protein] hydrolase [EC:3.1.2.21]	NA
K01232	3.80E-05	C16 ceramide	liver	glvA; maltose-6'-phosphate glucosidase [EC:3.2.1.122]	NA
K01624	0.00025736	C22 ceramide	brain	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
K01624	0.00025736	C22 ceramide	brain	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	"Gluconeogenesis, oxaloacetate => fructose-6P"
