Category,Group,Conjugation,Label,Data_type,varID
bile acids feces,Secondary,Unconjugated,HDCA,normalized-logTrans-pareto,var001
bile acids feces,Secondary,Unconjugated,DCA-isomer,normalized-logTrans-pareto,var002
bile acids feces,Secondary,Unconjugated,DCA,normalized-logTrans-pareto,var003
bile acids feces,Primary,Unconjugated,Alpha-MCA,normalized-logTrans-pareto,var004
bile acids feces,Primary,Unconjugated,CA,normalized-logTrans-pareto,var005
bile acids feces,Primary,Unconjugated,Beta-MCA,normalized-logTrans-pareto,var006
bile acids feces,Secondary,Conjugated,TDCA,normalized-logTrans-pareto,var007
bile acids feces,Secondary,Conjugated,TDCA-isomer,normalized-logTrans-pareto,var008
bile acids feces,Secondary,Conjugated,TUDCA,normalized-logTrans-pareto,var009
bile acids feces,Secondary,Conjugated,TDCA-isomer-2,normalized-logTrans-pareto,var010
bile acids feces,Primary,Conjugated,TCA isomer,normalized-logTrans-pareto,var011
bile acids feces,Primary,Conjugated,T-alpha-MCA,normalized-logTrans-pareto,var012
bile acids feces,Primary,Conjugated,T-beta-MCA,normalized-logTrans-pareto,var013
bile acids feces,Primary,Conjugated,T-omega-MCA,normalized-logTrans-pareto,var014
bile acids feces,Primary,Conjugated,TCA,normalized-logTrans-pareto,var015
bile acids liver,Secondary,Unconjugated,HDCA/UDCA,normalized-logTrans-pareto,var016
bile acids liver,Primary,Unconjugated,CA,normalized-logTrans-pareto,var017
bile acids liver,Primary,Unconjugated,ω-MCA,normalized-logTrans-pareto,var018
bile acids liver,Primary,Unconjugated,β-MCA,normalized-logTrans-pareto,var019
bile acids liver,Primary,Unconjugated,α-MCA,normalized-logTrans-pareto,var020
bile acids liver,Secondary,Conjugated,TDCA-isomer,normalized-logTrans-pareto,var021
bile acids liver,Secondary,Conjugated,TDCA,normalized-logTrans-pareto,var022
bile acids liver,Secondary,Conjugated,TUDCA,normalized-logTrans-pareto,var023
bile acids liver,Primary,Conjugated,T-ω-MCA,normalized-logTrans-pareto,var024
bile acids liver,Primary,Conjugated,T-α-MCA,normalized-logTrans-pareto,var025
bile acids liver,Primary,Conjugated,TCA,normalized-logTrans-pareto,var026
bile acids liver,NA,NA,Cholesterol,normalized-logTrans-pareto,var027
bile acids liver,NA,NA,Cholesterol ester,normalized-logTrans-pareto,var028
brain sphingolipids,Ceramide,NA,C16 ceramide,normalized-logTrans-pareto,var029
brain sphingolipids,Ceramide,NA,C18 ceramide,normalized-logTrans-pareto,var030
brain sphingolipids,Ceramide,NA,C20 ceramide,normalized-logTrans-pareto,var031
brain sphingolipids,Ceramide,NA,C22:1 ceramide,normalized-logTrans-pareto,var032
brain sphingolipids,Ceramide,NA,C22 ceramide,normalized-logTrans-pareto,var033
brain sphingolipids,Ceramide,NA,C24:1 ceramide,normalized-logTrans-pareto,var034
brain sphingolipids,Ceramide,NA,C24 ceramide,normalized-logTrans-pareto,var035
brain sphingolipids,SM,NA,C18:1 SM,normalized-logTrans-pareto,var036
brain sphingolipids,SM,NA,C18 SM,normalized-logTrans-pareto,var037
brain sphingolipids,SM,NA,C20 SM,normalized-logTrans-pareto,var038
brain sphingolipids,SM,NA,C22:2 SM,normalized-logTrans-pareto,var039
brain sphingolipids,SM,NA,C22:1 SM,normalized-logTrans-pareto,var040
brain sphingolipids,SM,NA,C22 SM,normalized-logTrans-pareto,var041
brain sphingolipids,SM,NA,C24:1 SM,normalized-logTrans-pareto,var042
brain sphingolipids,SM,NA,C24 SM,normalized-logTrans-pareto,var043
liver lipidomics,PC and LPC,NA,PC 32_0,raw-LC-MS-AUC-normalized-over-IS-AUC,var044
liver lipidomics,PC and LPC,NA,PC 32_1,raw-LC-MS-AUC-normalized-over-IS-AUC,var045
liver lipidomics,PC and LPC,NA,PC 34_0,raw-LC-MS-AUC-normalized-over-IS-AUC,var046
liver lipidomics,PC and LPC,NA,PC 34_1,raw-LC-MS-AUC-normalized-over-IS-AUC,var047
liver lipidomics,PC and LPC,NA,PC 34_2,raw-LC-MS-AUC-normalized-over-IS-AUC,var048
liver lipidomics,PC and LPC,NA,PC 34_3,raw-LC-MS-AUC-normalized-over-IS-AUC,var049
