ID,Diet,L_Vis1,L_Vis2,L_Hid1,L_Hid2,L_Hid3,L_Hid4,L_Hid5,L_Hid6,L_Vis3,L_Vis4,P_Time,P_Cross,P_TargetQ, SS_Vis 
s01,Control,31.3,17.1,60.3,60.3,30.6,59.7,57.5,60.3,10.21021,24.024023,60,0,0.19352685, 14.45 
s02,Control,50.6,9.5,50.5,60.3,50,27.8,16,12.2,9.409409,9.609609,11,2,0.286952783, 15.93 
s03,Control,40.6,38,60.3,60.3,29,35.8,24.2,21.6,60.26026,15.815815,54,1,0.470470483, 14.95 
s04,Control,51.9,9.9,60.3,60.3,43.8,60.3,60.3,42,12.212212,7.607607,49,2,0.4237571, 16.54 
s05,Control,40.1,14.4,60.3,60.3,60.3,57.1,15.4,60.3,16.416416,12.412412,10,4,0.340340317, 13.92 
s06,Control,31.7,7.1,60.3,60.3,60.3,60.1,52,22.2,7.407407,6.806806,39,1,0.537203867, 19.67 
s07,Control,54.1,12.2,60.3,22.4,60.3,60.3,51.5,25.8,17.417417,7.007006,60,0,0.230229517, 12.56 
s08,Control,48.3,14.7,60.3,60.3,60.3,60.3,60.3,17.8,20.22022,9.209209,14,2,0.23690355, 14.85 
s09,Control,42.2,11.8,60.1,41.4,44,42,58.1,23.8,14.214214,9.409409,46,1,0.276943617, 13.91 
s10,Control,60.3,10.7,60.3,60.3,60.3,60.3,60.1,60.3,13.413413,8.008007,58,1,0.260260267, 16.68 
s11,Control,45.7,10.2,60.3,31.8,26.6,60.3,60.3,60.3,13.813813,6.606606,23,2,0.286953617, 11.47 
s12,Control,58.4,13.9,60.3,60.3,60.3,60,18.6,60.3,19.219219,8.608608,18,1,0.343677017, 17.35 
s13,XN,48.1,7.2,60.3,60.3,45,17,26.6,14,7.8,6.6,38,1,0.400400367, 17.51 
s14,XN,59.1,14.2,60.3,43.6,60.3,15.2,60.3,10.6,18.6,9.8,9,5,0.3870537, 18.23 
s15,XN,41.3,8,60.3,39,60.3,60.3,32.6,28,10.41041,5.605605,30,2,0.357023683, 18.20 
s16,XN,46.6,15.7,60.3,17.6,60.3,26,21.8,12.4,23.023022,8.408408,18,3,0.4104104, 18.98 
s17,XN,26.2,17.3,23,19.4,25.8,21.2,7.2,15.6,23.223223,11.411411,12,4,0.4104104, 16.58 
s18,XN,40.6,25.8,44,60.3,22.6,14.4,9.8,8.8,40.040039,11.611611,7,3,0.457123817, 15.84 
s19,XN,60.3,27.1,60.3,60.3,22,22,29.4,14.6,47.047046,7.207207,35,2,0.413747083, 14.51 
s20,XN,31.9,19.9,60.3,43.6,50,60.3,24.2,38.4,19.219219,20.62062,8,1,0.316983667, 14.48 
s21,XN,24.9,9.4,60.3,60.3,28,14.2,22.4,22.4,11.01101,7.807807,6,1,0.29362695, 16.55 
s22,XN,56.6,14.1,60.3,18.4,60.3,15,16.4,7,15.415415,12.812812,15,1,0.4471138, 15.55 
s23,XN,25.2,13.2,60.3,34,55.7,16.2,34.6,31.8,10.010009,16.416416,30,0,0.377043683, 15.37 
s24,XN,36.4,16.8,60.3,31,60.3,60.3,18.2,36.2,25.225225,8.408408,35,1,0.437103767, 16.45 
s25,DXN,31.6,24,60.3,12,29.2,34.8,12.2,23,41.641641,6.406406,6,3,0.303636967, 17.28 
s26,DXN,40.1,8.3,60.3,60.3,60.3,60.3,9.2,47.4,9.609609,7.007006,6,3,0.306973633, 16.97 
s27,DXN,60.3,7.8,60.3,60.3,26.2,8.2,54.9,27.6,8.2,7.4,13,1,0.2902903, 18.00 
s28,DXN,40.2,9.7,60.3,60.3,42,30,15.8,16.6,10.8,8.6,12,1,0.363697033, 15.40 
s29,DXN,55.1,29.3,60.3,28,60.3,60.3,60.3,41,32.832832,25.825825,35,1,0.280280283, 16.41 
s30,DXN,17.5,19.9,60.3,34,28,56,29.6,13,26.426426,13.413413,11,3,0.390390383, 20.24 
s31,DXN,60.3,37.8,60.3,60.3,60.3,60.3,60.3,48,60.26026,15.415415,15,2,0.350350367, 14.42 
s32,DXN,60.3,9.3,60.3,60.3,36,24,15,35,11.411411,7.207207,39,1,0.550550533, 18.67 
s33,DXN,31,6.4,60.3,60.3,36,55.7,31.6,12.4,6.206206,6.606606,11,2,0.323657, 19.15 
s34,DXN,47,18.6,36.2,60.3,60.3,60.3,60.3,60.3,23.023022,14.214214,20,1,0.223556883, 14.35 
s35,DXN,13.7,27.1,60.3,60.3,41,51.5,36,24,46.446446,7.807807,9,2,0.313646983, 17.00 
s36,DXN,34.7,8,60.3,60.3,14,24.4,17.2,9.6,9.209209,6.806806,10,4,0.460460467, 18.49 
s37,TXN,14.1,12.9,18,10,48,24.6,8,19.6,15.015014,10.81081,12,5,0.397063717, 17.43 
s38,TXN,44.3,10.9,33,60.3,60.3,25.8,26.4,8.8,12.212212,9.609609,14,1,0.413747083, 15.11 
s39,TXN,37.5,17.6,60.3,33.4,45,49,47.8,27.2,14.414414,20.82082,32,1,0.253586933, 14.04 
s40,TXN,42.6,31.4,60.3,23,30.4,15.4,60.3,41.2,34.434434,28.428428,8,3,0.490490467, 16.90 
s41,TXN,43.4,7.5,60.3,55.3,23.6,7.4,10.8,29,8.6,6.4,21,4,0.293626967, 18.27 
s42,TXN,60.3,17,60.3,60.3,39,60.3,13.4,13,25.4,8.6,13,1,0.31698365, 15.74 
s43,TXN,50.6,19.5,49,45.2,60.3,36.4,60.3,32.8,20.62062,18.418418,10,1,0.311978525, 17.99 
s44,TXN,24.2,8.7,60.3,60.3,28,24.4,57,41.8,9.809809,7.607607,20,2,0.296963633, 14.26 
s45,TXN,17.5,15.9,45.2,31.6,60.3,38.4,27,19,23.823823,8.008007,15,1,0.387053717, 13.68 
s46,TXN,25,16.2,32,44,26,16.4,6,10,10.8,5.6,60,1,0.325325333, 5.26 
s47,,,,,,,,,,,,,,,
s48,TXN,26,9.1,60.3,60.3,60.3,32,25,34,12.812812,5.405405,17,1,0.390390383, 20.99 
