Sample	Treatment	Vis1	Vis2	Hid1	Hid2	Hid3	Hid4	Hid5	Hid6	Vis3	Vis4	TQ	RQ	LQ	OQ
s01	0	31.3	17.1	60.3	60.3	30.6	59.7	57.5	60.3	10.21021	24.024023	0.19352685	0.14014015	0.316983633	0.353687033
s02	0	50.6	9.5	50.5	60.3	50	27.8	16	12.2	9.409409	9.609609	0.286952783	0.46713235	0.120119767	0.130129733
s03	0	40.6	38	60.3	60.3	29	35.8	24.2	21.6	60.26026	15.815815	0.470470483	0.140140133	0.07340675	0.3203203
s04	0	51.9	9.9	60.3	60.3	43.8	60.3	60.3	42	12.212212	7.607607	0.4237571	0.156823467	0.100100117	0.323656983
s05	0	40.1	14.4	60.3	60.3	60.3	57.1	15.4	60.3	16.416416	12.412412	0.340340317	0.36369705	0.123456783	0.176843517
s06	0	31.7	7.1	60.3	60.3	60.3	60.1	52	22.2	7.407407	6.806806	0.537203867	0.046713383	0.13680345	0.283616967
s07	0	54.1	12.2	60.3	22.4	60.3	60.3	51.5	25.8	17.417417	7.007006	0.230229517	0.43710245	0.166833017	0.17016965
s08	0	48.3	14.7	60.3	60.3	60.3	60.3	60.3	17.8	20.22022	9.209209	0.23690355	0.2335669	0.2669336	0.266933617
s09	0	42.2	11.8	60.1	41.4	44	42	58.1	23.8	14.214214	9.409409	0.276943617	0.357023683	0.263596917	0.10677345
s10	0	60.3	10.7	60.3	60.3	60.3	60.3	60.1	60.3	13.413413	8.008007	0.260260267	0.263596933	0.226893567	0.2535869
s11	0	45.7	10.2	60.3	31.8	26.6	60.3	60.3	60.3	13.813813	6.606606	0.286953617	0.17017015	0.2369036	0.3103103
s12	0	58.4	13.9	60.3	60.3	60.3	60	18.6	60.3	19.219219	8.608608	0.343677017	0.186853517	0.186853517	0.286953617
s13	1	48.1	7.2	60.3	60.3	45	17	26.6	14	7.8	6.6	0.400400367	0.233566933	0.196863517	0.17350685
s14	1	59.1	14.2	60.3	43.6	60.3	15.2	60.3	10.6	18.6	9.8	0.3870537	0.286953617	0.153486833	0.176843517
s15	1	41.3	8	60.3	39	60.3	60.3	32.6	28	10.41041	5.605605	0.357023683	0.0900901	0.193526867	0.363697017
s16	1	46.6	15.7	60.3	17.6	60.3	26	21.8	12.4	23.023022	8.408408	0.4104104	0.140140117	0.166833517	0.286953633
s17	1	26.2	17.3	23	19.4	25.8	21.2	7.2	15.6	23.223223	11.411411	0.4104104	0.360360333	0.1368035	0.096763433
s18	1	40.6	25.8	44	60.3	22.6	14.4	9.8	8.8	40.040039	11.611611	0.457123817	0.200200167	0.140140133	0.20687355
s19	1	60.3	27.1	60.3	60.3	22	22	29.4	14.6	47.047046	7.207207	0.413747083	0.296963617	0.1568235	0.136803467
s20	1	31.9	19.9	60.3	43.6	50	60.3	24.2	38.4	19.219219	20.62062	0.316983667	0.2302302	0.233566917	0.223556883
s21	1	24.9	9.4	60.3	60.3	28	14.2	22.4	22.4	11.01101	7.807807	0.29362695	0.2902903	0.220220217	0.2002002
s22	1	56.6	14.1	60.3	18.4	60.3	15	16.4	7	15.415415	12.812812	0.4471138	0.230230217	0.160160167	0.166833483
s23	1	25.2	13.2	60.3	34	55.7	16.2	34.6	31.8	10.010009	16.416416	0.377043683	0.056723383	0.216883567	0.353687033
s24	1	36.4	16.8	60.3	31	60.3	60.3	18.2	36.2	25.225225	8.408408	0.437103767	0.273606933	0.16016015	0.133466817
s25	2	31.6	24	60.3	12	29.2	34.8	12.2	23	41.641641	6.406406	0.303636967	0.286953617	0.21688355	0.196863533
s26	2	40.1	8.3	60.3	60.3	60.3	60.3	9.2	47.4	9.609609	7.007006	0.306973633	0.223556883	0.213546883	0.260260267
s27	2	60.3	7.8	60.3	60.3	26.2	8.2	54.9	27.6	8.2	7.4	0.2902903	0.306973617	0.14347685	0.2635969
s28	2	40.2	9.7	60.3	60.3	42	30	15.8	16.6	10.8	8.6	0.363697033	0.243576883	0.230230267	0.166833483
