"Set","Feature","Name","Mod","Mod.name","Covar","Intrxn.pval"
"IGCs","Mmus_a_414214_1",NA,NA,NA,"L_Hid1",0.0108258348876948
"IGCs","Mmus_a_829820_4",NA,NA,NA,"L_Hid1",0.00223462051296449
"IGCs","Mmus_c_117982_4",NA,NA,NA,"L_Hid2",0.0117093842753664
"IGCs","Mmus_c_199351_1",NA,NA,NA,"L_Hid2",0.00204283310108249
"IGCs","Mmus_a_399708_2",NA,NA,NA,"L_Hid3",7.79878158903054e-203
"IGCs","Mmus_a_731530_1",NA,NA,NA,"L_Hid3",0.000296707960721279
"IGCs","Mmus_a_129670_1",NA,NA,NA,"L_Hid4",1.99336612897197e-93
"IGCs","Mmus_a_340508_1",NA,NA,NA,"L_Hid4",3.30490319088632e-62
"IGCs","Mmus_a_7117_35",NA,NA,NA,"L_Hid4",5.91269157189664e-49
"IGCs","Mmus_c_135507_4",NA,NA,NA,"L_Hid5",4.77923260547964e-109
"IGCs","Mmus_a_149464_3",NA,NA,NA,"L_Hid6",1.90509521361728e-23
"IGCs","Mmus_a_532873_2",NA,NA,NA,"L_Hid6",3.26377621710786e-11
"IGCs","Mmus_a_640997_1",NA,NA,NA,"L_Hid6",6.8452926812959e-07
"IGCs","Mmus_a_667335_2",NA,NA,NA,"L_Hid6",2.99665875635743e-10
"IGCs","Mmus_c_113721_14",NA,NA,NA,"L_Hid6",1.9852444344113e-08
"IGCs","Mmus_c_199483_5",NA,NA,NA,"L_Hid6",3.38819154733352e-17
"IGCs","Mmus_c_215672_1",NA,NA,NA,"L_Hid6",0.0291982662145359
"IGCs","Mmus_c_66407_10",NA,NA,NA,"L_Hid6",6.65173223225497e-25
"IGCs","Mmus_c_83336_3",NA,NA,NA,"L_Hid6",6.2077369919542e-10
"IGCs","Mmus_a_1150272_1",NA,NA,NA,"L_Vis1",1.18342108841009e-10
"IGCs","Mmus_a_20568_1",NA,NA,NA,"L_Vis1",5.70720521243899e-27
"IGCs","Mmus_a_25387_2",NA,NA,NA,"L_Vis1",2.06155817782433e-16
"IGCs","Mmus_a_275288_3",NA,NA,NA,"L_Vis1",2.70558442502581e-06
"IGCs","Mmus_a_30840_13",NA,NA,NA,"L_Vis1",1.60359648152448e-30
"IGCs","Mmus_a_972390_1",NA,NA,NA,"L_Vis1",1.06763163928506e-29
"IGCs","Mmus_c_124318_10",NA,NA,NA,"L_Vis1",0.0346183725734053
"IGCs","Mmus_c_184729_1",NA,NA,NA,"L_Vis1",0.00162494869185175
"IGCs","Mmus_c_66134_13",NA,NA,NA,"L_Vis1",0.000356199868490289
"IGCs","Mmus_a_322952_2",NA,NA,NA,"L_Vis2",0.00138742578736359
"IGCs","Mmus_a_678001_2",NA,NA,NA,"L_Vis2",6.17567182078985e-10
"IGCs","Mmus_a_889500_1",NA,NA,NA,"L_Vis2",8.73172014373888e-05
"IGCs","Mmus_c_161481_3",NA,NA,NA,"L_Vis2",8.06857539072206e-06
"IGCs","Mmus_c_226789_7",NA,NA,NA,"L_Vis2",6.91014350843476e-23
"IGCs","Mmus_c_226827_4",NA,NA,NA,"L_Vis2",0.0116890184580922
"IGCs","Mmus_c_226827_59",NA,NA,NA,"L_Vis2",0.0348031338208402
"IGCs","Mmus_c_250806_1",NA,NA,NA,"L_Vis2",0.0215147030842811
"IGCs","Mmus_c_255690_7",NA,NA,NA,"L_Vis2",3.46955182151616e-05
"IGCs","Mmus_c_39087_18",NA,NA,NA,"L_Vis2",2.43498540028635e-05
"IGCs","Mmus_a_1021237_1",NA,NA,NA,"L_Vis3",1.40380533928075e-09
"IGCs","Mmus_a_1029287_1",NA,NA,NA,"L_Vis3",7.90421263474318e-05
"IGCs","Mmus_a_1162909_1",NA,NA,NA,"L_Vis3",0.0104267029929091
"IGCs","Mmus_a_199485_4",NA,NA,NA,"L_Vis3",2.02770067741177e-06
"IGCs","Mmus_a_812265_2",NA,NA,NA,"L_Vis3",8.87275423789824e-05
"IGCs","Mmus_c_108837_8",NA,NA,NA,"L_Vis3",0.0119875775899847
"IGCs","Mmus_c_145556_20",NA,NA,NA,"L_Vis3",0.00567855126617688
"IGCs","Mmus_c_188830_1",NA,NA,NA,"L_Vis3",0.000977537291756456
"IGCs","Mmus_c_41565_1",NA,NA,NA,"L_Vis3",0.0180439839498315
"IGCs","Mmus_c_48748_136",NA,NA,NA,"L_Vis3",0.000165418135103322
"IGCs","Mmus_a_1193440_1",NA,NA,NA,"L_Vis4",0.0174748981131153
