All sizes are in kB. The pack column is the size of the object, compressed, inside the pack file.
size     pack     SHA                                       location
1770643  1758205  5308e872afec38032c7b1af526c0a34192844236  Saved_objects/list_PCross_randForests.rds
453153   39803    1b1fdad18e1bbad83312f7a389b7c2d583d15e46  Input/XN_count_table.txt
370318   365016   6ebfff761a56589e847cc8f325442796d66ce822  Saved_objects/randForest_dietIGCs_model_prevThresh0.rds
287066   285053   26ce051d550b8c84bdb4752f278efa3748fdffd4  Saved_objects/randForest_dietIGCs_model_prevThresh20.rds
245451   243543   6b5bc2a0357fd2883f5badf437e762341784757f  Saved_objects/recip_dietIGCs_data_prevThresh0.rds
223784   222530   f083db22fef69894bd4a57b0e5a84fbb5454edd0  Saved_objects/randForest_dietIGCs_model_prevThresh40.rds
186531   186027   77818639ba298251ccf348f41707f9e6167a50b9  Saved_objects/recip_dietIGCs_data_prevThresh20.rds
151687   151023   c1559f2679fd828b087e7aa893aaea7f5280723e  Saved_objects/randForest_dietIGCs_model_prevThresh60.rds
146011   145700   c7632ea7ec97e37570c415824b440bc64268ae86  Saved_objects/recip_dietIGCs_data_prevThresh40.rds
115444   115031   9ac38c18a2f832f016acca60aad05cf0c8b357de  Saved_objects/phyloseq_with_igc_contig_counts.rds
104834   32235    7e4ae36d8b491ebaaeb173c08092ed1300a7be49  Input/XN_gene_to_ko_mapping.tsv
99172    99036    79ba3a2b4ba9e115ec4813f9b75d3293c667ffab  Saved_objects/recip_dietIGCs_data_prevThresh60.rds
97890    97367    b933710f923cdcfb70b522a100c4ce72de25da9a  Saved_objects/list_randForests_covars_KOs.rds
93220    92881    a16804ea6988eb0d2fcbe83cfaa2eccc1ae23dc2  Saved_objects/randForest_dietIGCs_model_prevThresh80.rds
60992    60923    d8f408bdec440b48e2687787638de114cb57cac3  Saved_objects/recip_dietIGCs_data_prevThresh80.rds
37084    36954    729cbeb6c1bead571a37c7a1935c4a4a6420f3f0  Saved_objects/randForest_dietIGCs_model_prevThresh95.rds
24240    24214    bdb66c061cc2f681bcf64f88fb8c01e7876dc31e  Saved_objects/recip_dietIGCs_data_prevThresh95.rds
18876    18774    37710b7c6deb426cd96ca1dc9f3110b593cb565e  Saved_objects/dt_igc_dbrda_coords.rds
12745    5289     b8aaec870f079179602da25763a6ef576715267c  Input/Merged_Relative_abundances.tab
4703     4697     c51e055540e1acd49cb4af8bf21bb060693437b9  Input/phyloseq.rds
